,marca,tipo,consumo,consumoCarretera,cilindros,motor,potencia,RPM,largo,ancho,peso,precio
0,Acura,Small,25,31,4.0,1.8,140,6300,177,68,2705,15.9
1,Acura,Midsize,18,25,6.0,3.2,200,5500,195,71,3560,33.9
2,Audi,Compact,20,26,6.0,2.8,172,5500,180,67,3375,29.1
3,Audi,Midsize,19,26,6.0,2.8,172,5500,193,70,3405,37.7
4,BMW,Midsize,22,30,4.0,3.5,208,5700,186,69,3640,30.0
5,Buick,Midsize,22,31,4.0,2.2,110,5200,189,69,2880,15.7
6,Buick,Large,19,28,6.0,3.8,170,4800,200,74,3470,20.8
7,Buick,Large,16,25,6.0,5.7,180,4000,216,78,4105,23.7
8,Buick,Midsize,19,27,6.0,3.8,170,4800,198,73,3495,26.3
9,Cadillac,Large,16,25,8.0,4.9,200,4100,206,73,3620,34.7
10,Cadillac,Midsize,16,25,8.0,4.6,295,6000,204,74,3935,40.1
11,Chevrolet,Compact,25,36,4.0,2.2,110,5200,182,66,2490,13.4
12,Chevrolet,Compact,25,34,4.0,2.2,110,5200,184,68,2785,11.4
13,Chevrolet,Sporty,19,28,6.0,3.4,160,4600,193,74,3240,15.1
14,Chevrolet,Midsize,21,29,4.0,2.2,110,5200,198,71,3195,15.9
15,Chevrolet,Van,18,23,6.0,3.8,170,4800,178,74,3715,16.3
16,Chevrolet,Van,15,20,6.0,4.3,165,4000,194,78,4025,16.6
17,Chevrolet,Large,17,26,8.0,5.0,170,4200,214,77,3910,18.8
18,Chevrolet,Sporty,17,25,8.0,5.7,300,5000,179,74,3380,38.0
19,Chrysler,Large,20,28,6.0,3.3,153,5300,203,74,3515,18.4
20,Chrysler,Compact,23,28,4.0,3.0,141,5000,183,68,3085,15.8
21,Chrysler,Large,20,26,6.0,3.3,147,4800,203,69,3570,29.5
22,Dodge,Small,29,33,4.0,1.5,92,6000,174,66,2270,9.2
23,Dodge,Small,23,29,4.0,2.2,93,4800,172,67,2670,11.3
24,Dodge,Compact,22,27,4.0,2.5,100,4800,181,68,2970,13.3
25,Dodge,Van,17,21,6.0,3.0,142,5000,175,72,3705,19.0
26,Dodge,Midsize,21,27,4.0,2.5,100,4800,192,69,3080,15.6
27,Dodge,Sporty,18,24,6.0,3.0,300,6000,180,72,3805,25.8
28,Eagle,Small,29,33,4.0,1.5,92,6000,174,66,2295,12.2
29,Eagle,Large,20,28,6.0,3.5,214,5800,202,74,3490,19.3
30,Ford,Small,31,33,4.0,1.3,63,5000,141,63,1845,7.4
31,Ford,Small,23,30,4.0,1.8,127,6500,171,67,2530,10.1
32,Ford,Compact,22,27,4.0,2.3,96,4200,177,68,2690,11.3
33,Ford,Sporty,22,29,4.0,2.3,105,4600,180,68,2850,15.9
34,Ford,Sporty,24,30,4.0,2.0,115,5500,179,70,2710,14.0
35,Ford,Van,15,20,6.0,3.0,145,4800,176,72,3735,19.9
36,Ford,Midsize,21,30,6.0,3.0,140,4800,192,71,3325,20.2
37,Ford,Large,18,26,8.0,4.6,190,4200,212,78,3950,20.9
38,Geo,Small,46,50,3.0,1.0,55,5700,151,63,1695,8.4
39,Geo,Sporty,30,36,4.0,1.6,90,5400,164,67,2475,12.5
40,Honda,Sporty,24,31,4.0,2.3,160,5800,175,70,2865,19.8
41,Honda,Small,42,46,4.0,1.5,102,5900,173,67,2350,12.1
42,Honda,Compact,24,31,4.0,2.2,140,5600,185,67,3040,17.5
43,Hyundai,Small,29,33,4.0,1.5,81,5500,168,63,2345,8.0
44,Hyundai,Small,22,29,4.0,1.8,124,6000,172,66,2620,10.0
45,Hyundai,Sporty,26,34,4.0,1.5,92,5550,166,64,2285,10.0
46,Hyundai,Midsize,20,27,4.0,2.0,128,6000,184,69,2885,13.9
47,Infiniti,Midsize,17,22,8.0,4.5,278,6000,200,72,4000,47.9
48,Lexus,Midsize,18,24,6.0,3.0,185,5200,188,70,3510,28.0
49,Lexus,Midsize,18,23,6.0,3.0,225,6000,191,71,3515,35.2
50,Lincoln,Midsize,17,26,6.0,3.8,160,4400,205,73,3695,34.3
51,Lincoln,Large,18,26,8.0,4.6,210,4600,219,77,4055,36.1
52,Mazda,Small,29,37,4.0,1.6,82,5000,164,66,2325,8.3
53,Mazda,Small,28,36,4.0,1.8,103,5500,172,66,2440,11.6
54,Mazda,Compact,26,34,4.0,2.5,164,5600,184,69,2970,16.5
55,Mazda,Van,18,24,6.0,3.0,155,5000,190,72,3735,19.1
56,Mazda,Sporty,17,25,,1.3,255,6500,169,69,2895,32.5
57,Mercedes-Benz,Compact,20,29,4.0,2.3,130,5100,175,67,2920,31.9
58,Mercedes-Benz,Midsize,19,25,6.0,3.2,217,5500,187,69,3525,61.9
59,Mercury,Sporty,23,26,4.0,1.6,100,5750,166,65,2450,14.1
60,Mercury,Midsize,19,26,6.0,3.8,140,3800,199,73,3610,14.9
61,Mitsubishi,Small,29,33,4.0,1.5,92,6000,172,67,2295,10.3
62,Mitsubishi,Midsize,18,24,6.0,3.0,202,6000,190,70,3730,26.1
63,Nissan,Small,29,33,4.0,1.6,110,6000,170,66,2545,11.8
